Donor,ISO3,Recipient,Economic Development,WHO Region,HEALTH POLICY & ADMIN. MANAGEMENT,MDG6,Other Health Purposes,RH & FP,"Disbursements, Million, 2010 constant US$ (2010-2011)"
Canada,MEX,Mexico,UMICs,Amr, -   , -   , 0.02 , -   , 0.02 
Canada,PAN,Panama,UMICs,Amr, -   , -   , 0.02 , -   , 0.02 
Canada,BIH,Bosnia and Herzegovina,UMICs,Eur, 0.01 , -   , -   , -   , 0.01 
Canada,SRB,Serbia,UMICs,Eur, 0.01 , -   , -   , -   , 0.01 
Canada,GRD,Grenada,UMICs,Amr, -   , 0.01 , -   , -   , 0.01 
Canada,FSM,Micronesia (Federated States of),LMICs,Wpr, -   , -   , 0.01 , -   , 0.01 
Canada,ARM,Armenia,LMICs,Eur, -   , 0.00 , 0.00 , -   , 0.01 
Canada,GEO,Georgia,LMICs,Eur, 0.00 , -   , -   , -   , 0.00 
Canada,KGZ,Kyrgyzstan,Other LICs,Eur, -   , -   , -   , -   , -   
Canada,TJK,Tajikistan,Other LICs,Eur, -   , -   , -   , -   , -   
Czech Republic,LBY,Libya,UMICs,Emr, -   , -   , 0.47 , -   , 0.47 
Czech Republic,SRB,Serbia,UMICs,Eur, 0.01 , -   , 0.36 , -   , 0.37 
Czech Republic,ZMB,Zambia,LDCs,Afr, 0.01 , -   , -   , 0.31 , 0.33 
Czech Republic,GEO,Georgia,LMICs,Eur, 0.04 , -   , 0.27 , -   , 0.31 
Czech Republic,ETH,Ethiopia,LDCs,Afr, 0.05 , -   , 0.23 , -   , 0.29 
Czech Republic,KHM,Cambodia,LDCs,Wpr, 0.04 , -   , 0.22 , -   , 0.26 
Czech Republic,MNG,Mongolia,LMICs,Wpr, 0.05 , -   , 0.19 , -   , 0.24 
Czech Republic,MDA,Republic of Moldova,LMICs,Eur, 0.18 , 0.01 , -   , -   , 0.19 
Czech Republic,VNM,Viet Nam,LMICs,Wpr, 0.01 , -   , 0.16 , -   , 0.17 
Czech Republic,AFG,Afghanistan,LDCs,Emr, -   , -   , 0.12 , -   , 0.12 
Czech Republic,Global and Regional,Global and Regional,Global and Regional,Global and Regional, -   , -   , 0.02 , -   , 0.02 
Czech Republic,COG,Congo,LMICs,Afr, 0.02 , -   , -   , -   , 0.02 
Czech Republic,ZAF,South Africa,UMICs,Afr, 0.02 , -   , -   , -   , 0.02 
Czech Republic,JOR,Jordan,UMICs,Emr, 0.02 , -   , -   , -   , 0.02 
Czech Republic,MYS,Malaysia,UMICs,Wpr, 0.02 , -   , -   , -   , 0.02 
Czech Republic,TJK,Tajikistan,Other LICs,Eur, -   , 0.01 , -   , -   , 0.01 
Czech Republic,YEM,Yemen,LDCs,Emr, 0.01 , -   , -   , -   , 0.01 
Czech Republic,MMR,Myanmar,LDCs,Sear, 0.01 , -   , -   , -   , 0.01 
Czech Republic,ZWE,Zimbabwe,Other LICs,Afr, 0.01 , -   , -   , -   , 0.01 
Czech Republic,ALB,Albania,UMICs,Eur, 0.01 , -   , -   , -   , 0.01 
