Donor,Recipient,Ordinal,HEALTH POLICY & ADMIN. MANAGEMENT,MDG6,Other Health Purposes,RH & FP,Grand Total,Percentage
Finland,United Republic of Tanzania,6,0.19,0.40,1.60,0.00,2.19,3.3%
Finland,Namibia,7,0.00,0.00,2.01,0.00,2.01,3.0%
Finland,Sri Lanka,8,0.29,0.00,1.34,0.00,1.63,2.4%
Finland,All others,9,0.72,3.26,12.57,1.17,17.72,26.4%
France,Global and Regional,1,25.95,28.72,250.64,22.54,327.85,53.3%
France,Morocco,2,7.47,1.21,33.56,0.00,42.24,6.9%
France,Kenya,3,1.12,0.18,24.51,0.00,25.80,4.2%
France,Burkina Faso,4,1.97,13.36,5.82,0.00,21.14,3.4%
France,Senegal,5,9.46,6.97,2.96,0.00,19.39,3.2%
France,Benin,6,1.55,5.58,5.19,0.00,12.33,2.0%
France,Sri Lanka,7,11.64,0.00,0.00,0.00,11.64,1.9%
France,Côte d'Ivoire,8,0.63,6.76,3.64,0.00,11.04,1.8%
France,All others,9,43.20,37.96,57.89,4.77,143.82,23.4%
GAVI,Global and Regional,1,20.40,157.52,0.00,0.00,177.92,12.7%
GAVI,Pakistan,2,0.00,0.00,113.27,0.00,113.27,8.1%
GAVI,Ethiopia,3,0.00,0.00,104.82,0.00,104.82,7.5%
GAVI,Democratic Republic of the Congo,4,0.00,0.00,103.74,0.00,103.74,7.4%
GAVI,Kenya,5,0.00,0.00,83.01,0.00,83.01,5.9%
GAVI,Bangladesh,6,0.00,0.00,81.84,0.00,81.84,5.8%
GAVI,Sudan,7,0.00,0.00,50.46,0.00,50.46,3.6%
GAVI,Mali,8,0.00,0.00,40.73,0.00,40.73,2.9%
GAVI,All others,9,0.00,0.00,643.84,0.00,643.84,46.0%
Germany,Global and Regional,1,24.87,72.28,37.11,20.16,154.42,18.0%
Germany,India,2,0.57,32.22,57.03,1.33,91.15,10.6%
Germany,China,3,2.00,52.92,19.61,0.00,74.53,8.7%
Germany,United Republic of Tanzania,4,39.77,7.60,14.37,1.37,63.10,7.3%
Germany,Afghanistan,5,0.03,0.60,46.19,0.26,47.08,5.5%
Germany,Indonesia,6,8.14,1.63,29.74,0.00,39.50,4.6%
Germany,Pakistan,7,0.00,15.05,16.03,4.28,35.36,4.1%
Germany,Kenya,8,16.45,1.84,1.45,13.34,33.07,3.8%
Germany,All others,9,62.45,134.86,76.00,47.69,321.01,37.4%
Greece,Global and Regional,1,0.34,0.00,3.78,0.00,4.12,47.3%
Greece,West Bank and Gaza Strip,2,4.14,0.00,0.01,0.00,4.14,47.6%
Greece,Albania,3,0.00,0.00,0.08,0.00,0.08,1.0%
Greece,Bosnia and Herzegovina,4,0.00,0.00,0.06,0.00,0.06,0.7%
Greece,Republic of Moldova,5,0.00,0.00,0.05,0.00,0.05,0.5%
Greece,Serbia,6,0.00,0.00,0.04,0.00,0.04,0.5%
Greece,Jordan,7,0.00,0.00,0.03,0.00,0.03,0.3%
Greece,Syrian Arab Republic,8,0.00,0.00,0.02,0.00,0.02,0.3%
Greece,All others,9,0.00,0.00,0.16,0.00,0.16,1.9%
Iceland,Global and Regional,1,0.00,0.00,0.00,0.25,0.25,16.3%
Iceland,Malawi,2,0.00,0.00,0.92,0.00,0.92,58.9%
Iceland,West Bank and Gaza Strip,3,0.00,0.00,0.20,0.00,0.20,13.1%
Iceland,Afghanistan,4,0.00,0.00,0.00,0.18,0.18,11.7%
IDA,Global and Regional,1,3.23,19.85,5.78,1.06,29.91,1.5%
IDA,India,2,116.29,225.25,102.70,51.14,495.39,25.4%
IDA,Nigeria,3,4.51,132.93,32.66,32.66,202.76,10.4%
IDA,Democratic Republic of the Congo,4,17.00,39.50,119.88,2.78,179.15,9.2%
IDA,Kenya,5,27.13,57.91,22.55,0.00,107.58,5.5%
IDA,Viet Nam,6,57.05,17.03,20.58,0.22,94.87,4.9%
IDA,United Republic of Tanzania,7,65.31,1.45,12.94,0.00,79.71,4.1%
IDA,Bangladesh,8,37.03,15.71,13.63,11.73,78.10,4.0%
IDA,All others,9,231.81,271.28,151.03,25.81,679.94,34.9%
IDB Sp.Fund,Global and Regional,1,3.90,0.00,1.18,0.00,5.08,5.6%
